date,forecast,actual
2021-01-01,0.10541204211005208,-0.00999800000000306
2021-01-02,0.10233420784590297,-0.00999800000000306
2021-01-03,0.10016606595436901,-0.3999979999999965
2021-01-04,0.2150602748195044,0.2999989999999997
2021-01-05,0.004146939532979316,0.06999999999999318
2021-01-06,0.07301257276364144,-0.35999999999999943
2021-01-07,0.20174877740909006,0.2700009999999935
2021-01-08,0.012667520140383859,0.2700009999999935
2021-01-09,0.012939159784250198,0.2700009999999935
2021-01-10,0.013180240702320323,-0.0200010000000006
2021-01-11,0.09985828908211809,-0.34999800000000647
2021-01-12,0.19944821502790178,0.1399990000000031
2021-01-13,0.05198099959438228,-0.18000000000000682
2021-01-14,0.14788970762610493,0.04999900000000679
2021-01-15,0.07897711202034854,0.04999900000000679
2021-01-16,0.07889159772935411,0.04999900000000679
2021-01-17,0.07890606158505543,0.04999900000000679
2021-01-18,0.07909998947992143,0.04999999999999716
2021-01-19,0.07874558499979217,-0.4100000000000037
2021-01-20,0.21682688964377875,-0.010002000000000066
2021-01-21,0.09680156818505418,0.5200000000000031
2021-01-22,-0.062162078806719284,0.5200000000000031
2021-01-23,-0.062271300378985,0.5200000000000031
2021-01-24,-0.061891656205356374,0.2799980000000062
2021-01-25,0.009451937338843489,-0.08000100000000288
2021-01-26,0.11799533051779562,-1.2700010000000006
2021-01-27,0.47471371321816924,-0.07999800000000334
2021-01-28,0.11808943670893544,-1.1300019999999975
2021-01-29,0.4328068570527719,-1.1300019999999975
2021-01-30,0.4324893681967737,-1.1300019999999975
2021-01-31,0.43278740592173714,-0.8599960000000024
2021-02-01,0.3519823522652807,-0.4599990000000034
2021-02-02,0.23198868601766814,-0.1599999999999966
2021-02-03,0.14185270600280314,0.04999999999999716
2021-02-04,0.07911438676413976,-0.22000100000000344
2021-02-05,0.16032388761937164,-0.22000100000000344
2021-02-06,0.15947965321609253,-0.22000100000000344
2021-02-07,0.1596303610081971,-0.039996999999999616
2021-02-08,0.10579063397706664,0.25
2021-02-09,0.01874726403234231,-0.8099979999999931
2021-02-10,0.33673258403025896,-0.25
2021-02-11,0.1690464918470377,0.7599990000000005
2021-02-12,-0.13381537944854727,0.7599990000000005
2021-02-13,-0.1342988861015818,0.7599990000000005
2021-02-14,-0.13458007628575824,0.7599990000000005
2021-02-15,-0.13381067446642858,-0.13000100000000003
2021-02-16,0.13291155017325768,0.40000200000000063
2021-02-17,-0.02595436878941232,0.00999800000000306
2021-02-18,0.09130525898524897,-0.5400009999999966
2021-02-19,0.2559316448866337,-0.5400009999999966
2021-02-20,0.25582359888314243,-0.5400009999999966
2021-02-21,0.2558014563217736,-0.09999799999999937
2021-02-22,0.12418148051571354,-1.3900000000000006
2021-02-23,0.5108860793265387,0.4399980000000028
2021-02-24,-0.037681581573607126,-0.9399980000000028
2021-02-25,0.37556334837792243,-0.46999699999999933
2021-02-26,0.23475206382292657,-0.46999699999999933
2021-02-27,0.23462559700865754,-0.46999699999999933
2021-02-28,0.2348358305366933,-0.36999899999999997
2021-03-01,0.20426450771709215,-0.6700020000000038
2021-03-02,0.2948872270508422,-0.4799990000000065
2021-03-03,0.2380310542801684,-0.36000000000000654
2021-03-04,0.20205676051010324,0.49000099999999946
2021-03-05,-0.05288311532835213,0.49000099999999946
2021-03-06,-0.05279114809812313,0.49000099999999946
2021-03-07,-0.05329857880934746,0.43999900000000025
2021-03-08,-0.037637385081600416,-0.1300019999999975
2021-03-09,0.13278648927450712,-0.39000000000000057
2021-03-10,0.21062169217673532,-0.28000300000000067
2021-03-11,0.17790459686121252,0.14999799999999652
2021-03-12,0.049130690105212316,0.14999799999999652
2021-03-13,0.04869890312553853,0.14999799999999652
2021-03-14,0.0485728329765475,0.18999800000000278
2021-03-15,0.03664194967931709,0.09999799999999937
2021-03-16,0.06424889264626238,0.2700010000000006
2021-03-17,0.013183027666765143,-0.1399990000000031
2021-03-18,0.1360789097587047,-0.010002000000000066
2021-03-19,0.09666615690596879,-0.010002000000000066
2021-03-20,0.09676592346323651,-0.010002000000000066
2021-03-21,0.09706583904304263,1.2200010000000034
2021-03-22,-0.2716893466302946,-0.5499989999999997
2021-03-23,0.2590756420485034,-0.3400000000000034
2021-03-24,0.19575831502897595,0.7700010000000006
2021-03-25,-0.1366240107455704,1.0799980000000033
2021-03-26,-0.22967703267136325,1.0799980000000033
2021-03-27,-0.2299367603574496,1.0799980000000033
2021-03-28,-0.22998261581670526,0.26000200000000007
2021-03-29,0.01518675775912795,-0.16999799999999965
2021-03-30,0.1446787164857442,-0.3199999999999932
2021-03-31,0.18935047044796058,-0.08000200000000035
2021-04-01,0.11725950452689822,-0.08000200000000035
2021-04-02,0.11705829504142862,-0.08000200000000035
2021-04-03,0.11783669954557521,-0.08000200000000035
2021-04-04,0.11775143851973055,0.11999899999999997
2021-04-05,0.05809143353660845,-0.22999999999999687
2021-04-06,0.1626733234447012,-0.6400030000000001
2021-04-07,0.2859710483992532,-0.16999799999999965
2021-04-08,0.1446519500381412,-0.21000300000000038
2021-04-09,0.1569250709379329,-0.21000300000000038
2021-04-10,0.1573135094836454,-0.21000300000000038
2021-04-11,0.15571378846245998,-0.4100040000000007
2021-04-12,0.2174453665058675,-0.020000000000003126
2021-04-13,0.10033824904722605,-0.2000009999999932
2021-04-14,0.15401636518955397,0.09000000000000341
2021-04-15,0.06681279005055765,-0.05999700000000274
2021-04-16,0.11147179663623483,-0.05999700000000274
2021-04-17,0.11132231312175556,-0.05999700000000274
2021-04-18,0.11167556999305855,-0.00999800000000306
