date,compound_score
2003-02-19,-0.10761363636363637
2003-02-20,-0.1107596
2003-02-21,-0.1047192
2003-02-22,-0.052788888888888885
2003-02-23,-0.09933088235294119
2003-02-24,-0.064974
2003-02-25,-0.047465600000000004
2003-02-26,-0.0900712
2003-02-27,-0.06554479638009049
2003-02-28,-0.06774779116465864
2003-03-01,-0.0818840909090909
2003-03-02,-0.10480416666666666
2003-03-03,-0.03605517241379311
2003-03-04,-0.09001813953488372
2003-03-05,-0.07347071129707113
2003-03-06,-0.09740093457943926
2003-03-07,-0.05015311004784689
2003-03-08,-0.09387822580645161
2003-03-09,-0.06148231707317073
2003-03-10,-0.05000552995391705
2003-03-11,-0.08701681818181818
2003-03-12,-0.06580929203539823
2003-03-13,-0.0822875
2003-03-14,-0.06958340611353711
2003-03-15,-0.022793283582089555
2003-03-16,-0.07521848739495798
2003-03-17,-0.10838805309734513
2003-03-18,-0.09644070796460177
2003-03-19,-0.10625822222222223
2003-03-20,-0.09981187214611874
2003-03-21,-0.12117860465116279
2003-03-22,-0.11598622448979591
2003-03-23,-0.1111891089108911
2003-03-24,-0.07691115879828327
2003-03-25,-0.0883491452991453
2003-03-26,-0.11061964285714286
2003-03-27,-0.09507587719298245
2003-03-28,-0.10783542600896862
2003-03-29,-0.16314564102564102
2003-03-30,-0.19529636363636366
2003-03-31,-0.13355042735042735
2003-04-01,-0.08540790697674419
2003-04-02,-0.10106858407079646
2003-04-03,-0.13733333333333334
2003-04-04,-0.08536859903381643
2003-04-05,-0.04910621468926554
2003-04-06,-0.04278823529411765
2003-04-07,-0.04270787037037037
2003-04-08,-0.09551320754716981
2003-04-09,-0.06681141552511416
2003-04-10,-0.08172511627906978
2003-04-11,-0.07879455445544555
2003-04-12,-0.08748
2003-04-13,0.0032456140350877157
2003-04-14,-0.06433
2003-04-15,-0.035951282051282056
2003-04-16,-0.08274072398190045
2003-04-17,-0.06446624472573839
2003-04-18,-0.07186666666666666
2003-04-19,-0.08113948717948719
2003-04-20,-0.01910597826086956
2003-04-21,-0.026365714285714284
2003-04-22,-0.06691272727272728
2003-04-23,-0.09594065420560746
2003-04-24,-0.10854886877828054
2003-04-25,0.0012292035398230087
2003-04-26,-0.060472368421052636
2003-04-27,-0.038126797385620914
2003-04-28,-0.05377477064220184
2003-04-29,-0.07103051643192489
2003-04-30,-0.030226066350710897
2003-05-01,-0.05583755656108597
2003-05-02,-0.022760185185185185
2003-05-03,-0.09219015151515152
2003-05-04,-0.01194931506849315
2003-05-05,-0.07002813852813854
2003-05-06,-0.0584801724137931
2003-05-07,-0.08283738738738738
2003-05-08,-0.08228655462184874
2003-05-09,-0.04904434782608696
2003-05-10,-0.08567826086956522
2003-05-11,-0.0558923076923077
2003-05-12,-0.033618552036199095
2003-05-13,-0.054841509433962266
2003-05-14,-0.07980495495495495
2003-05-15,-0.07670686695278969
2003-05-16,-0.049873636363636356
2003-05-17,-0.07438785714285714
2003-05-18,-0.11930000000000002
2003-05-19,-0.08510000000000001
2003-05-20,-0.06263415637860083
2003-05-21,-0.07935853658536586
2003-05-22,-0.03980122448979592
2003-05-23,-0.06480857142857142
2003-05-24,-0.06970129032258066
2003-05-25,-0.06406275862068966
2003-05-26,-0.06282540983606558
2003-05-27,-0.04730462184873949
2003-05-28,-0.03811
2003-05-29,-0.04178823529411765
2003-05-30,-0.052863485477178423
2003-05-31,-0.14105
2003-06-01,-0.04041280487804878
2003-06-02,-0.033398750000000005
2003-06-03,-0.016835146443514644
2003-06-04,-0.0387655601659751
2003-06-05,-0.06819958506224066
2003-06-06,-0.05243833333333334
2003-06-07,-0.049609615384615384
2003-06-08,-0.04567469879518072
2003-06-09,0.10920470085470085
2003-06-10,-0.037940425531914894
2003-06-11,-0.05724398340248962
2003-06-12,-0.08666708860759494
2003-06-13,-0.10821120331950208
2003-06-14,-0.08113969465648856
2003-06-15,-0.06443166666666666
2003-06-16,-0.01037375
2003-06-17,-0.035574897119341566
2003-06-18,-0.07563417721518988
2003-06-19,-0.08491338912133892
2003-06-20,-0.05115469387755102
2003-06-21,-0.11837305389221557
2003-06-22,-0.09285886075949366
2003-06-23,-0.040491525423728816
2003-06-24,-0.08064146341463416
2003-06-25,-0.06052592592592592
2003-06-26,-0.07434435146443515
2003-06-27,-0.11657201646090536
2003-06-28,-0.026234057971014496
