date,pred,actual
2017-06-06,0.07265347843408088,0.13404901745912828
2017-06-07,0.1051492316597542,0.021448137699823795
2017-06-08,0.06710353541156827,0.016085935714433557
2017-06-09,0.052911791896504155,0.016085935714433557
2017-06-10,0.05677824670067312,0.016085935714433557
2017-06-11,0.0585396293267447,0.0831109136132141
2017-06-12,0.07524827302648865,0.09115274205947903
2017-06-13,0.0921056067183216,0.03753420746260507
2017-06-14,0.06968112098295798,0.09383424519721573
2017-06-15,0.08183936089819102,0.15013535531860142
2017-06-16,0.10551089641290193,0.15013535531860142
2017-06-17,0.11368974789786009,0.15013535531860142
2017-06-18,0.10435990322519419,0.12868681547373806
2017-06-19,0.10108827637803774,0.09383397710052196
2017-06-20,0.0873270591348054,0.14209165019547637
2017-06-21,0.09884708297055797,0.171582554679996
2017-06-22,0.11491448530823067,0.03753420746260507
2017-06-23,0.07286551637704203,0.03753420746260507
2017-06-24,0.06159611055516113,0.03753420746260507
2017-06-25,0.06373463948430261,0.026810071588520265
2017-06-26,0.06280783131087007,0.005361799840348749
2017-06-27,0.055101256916686964,0.008043302978085462
2017-06-28,0.05747819558217874,0.05630070797634612
2017-06-29,0.06944574778829724,0.06702484385043282
2017-06-30,0.08167272614774818,0.06702484385043282
2017-07-01,0.07738625107553065,0.06702484385043282
2017-07-02,0.07744027244579682,0.08579161246086572
2017-07-03,0.0822958652220131,0.08579161246086572
2017-07-04,0.0843073748533318,0.20911582380417185
2017-07-05,0.12301481724183609,0.04289614135130155
2017-07-06,0.08214872000261116,0.1260055804326951
2017-07-07,0.0858171780765112,0.1260055804326951
2017-07-08,0.10118926608317541,0.1260055804326951
2017-07-09,0.09745636456860365,0.05362027722538635
2017-07-10,0.07490929822716894,0.0991961790859103
2017-07-11,0.0825692613922866,-0.16622008459791177
2017-07-12,0.006958563189799746,-0.06702350336695809
2017-07-13,0.010004538212749853,0.3351204658984358
2017-07-14,0.1590380322413058,0.3351204658984358
2017-07-15,0.19447554591210145,0.3351204658984358
